Sound ID,Sound Rank,Loudness,Sharpness,Roughness,Prominence Ratio,Loudness [sones],Sharpness [acum],Roughness [asper],Prominence Ratio [PR],Q1,Q2,Q3,Q4,Loudness Norm,Sharpness Norm,Roughness Norm,Prom Ratio Norm,Q1 Norm,Q2 Norm,Q3 Norm,Q4 Norm,Q1 Ave,Q2 Ave,Q3 Ave,Q4 Ave,Q1 Norm Ave,Q2 Norm Ave,Q3 Norm Ave,Q4 Norm Ave
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,7,7,0,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,1.659422696,1.541638409,-1.419844036,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4,3,5,20,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.336802758,-0.496971952,0.338673933,-0.70375387,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,3,5,35,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,-0.496971952,0.338673933,-0.166686245,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.2,,4.7,60,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.224560987,-2.114267939,0.158229261,0.728426462,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,2.8,4.6,17,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.604791685,0.098081037,-0.811167395,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.7,3.4,4.7,19,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.056043442,-0.281332488,0.158229261,-0.739558378,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.6,2.6,5.1,17,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.561131414,-0.712611417,0.398822156,-0.811167395,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.1,4,5,85,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.280681873,0.04212671,0.338673933,1.62353917,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2.6,2.6,2.6,76,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.122495159,-0.712611417,-1.104883439,1.301298595,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.2,1.4,6.7,11,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.897856729,-1.359529812,1.361193738,-1.025994445,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
